frame,x1,y1,x2,y2,conf,track_id
0,275.0,328.5,291.3,349.6,0.873,100001
0,336.7,335.1,356.3,350.8,0.863,100002
0,257.1,274.8,276.2,290.2,0.848,100003
0,246.2,285.8,264.4,301.6,0.822,100004
0,482.0,312.5,495.1,334.6,0.809,100005
0,423.4,245.7,440.4,262.4,0.806,100006
0,291.7,349.3,310.2,362.9,0.798,100007
0,328.5,389.0,345.0,404.9,0.797,100008
0,278.6,367.8,296.7,386.0,0.796,100009
0,430.2,233.6,450.4,248.6,0.792,100010
0,305.2,324.5,319.1,341.9,0.775,100011
0,197.8,349.0,215.6,367.4,0.772,100012
0,309.7,270.0,322.2,287.0,0.751,100013
0,432.6,252.4,453.5,269.9,0.738,100014
0,308.9,374.5,324.9,394.2,0.686,100015
0,363.9,365.3,376.9,383.5,0.681,100016
0,231.6,391.5,252.9,406.1,0.662,100017
0,277.8,357.8,295.4,369.6,0.556,100018
0,334.4,203.2,355.9,217.3,0.893,200019
0,275.6,183.7,298.4,198.5,0.882,200020
0,227.7,93.9,246.5,112.7,0.874,200021
0,332.5,140.4,353.5,157.8,0.866,200022
0,328.0,184.1,350.3,200.6,0.865,200023
0,452.4,153.2,470.8,173.2,0.864,200024
0,351.9,122.7,371.6,138.4,0.85,200025
0,356.9,145.3,373.0,167.8,0.842,200026
0,486.6,193.8,501.3,208.6,0.838,200027
0,315.6,163.8,338.8,181.0,0.834,200028
0,319.9,70.9,340.0,85.0,0.824,200029
0,433.7,206.9,453.3,221.7,0.821,200030
0,264.3,190.3,278.9,207.8,0.817,200031
0,399.9,135.7,417.0,153.4,0.816,200032
0,363.6,172.1,379.9,193.0,0.808,200033
0,351.1,160.9,366.8,186.8,0.755,200034
0,354.4,188.3,376.2,202.3,0.73,200035
0,241.3,186.5,254.5,204.5,0.697,200036
0,252.0,189.4,267.2,207.7,0.668,200037
1,275.1,328.5,291.4,349.5,0.873,100001
1,336.7,335.2,356.6,350.8,0.855,100002
1,257.7,274.7,277.4,290.2,0.853,100003
1,246.0,286.0,264.0,301.7,0.838,100004
1,482.2,312.5,495.2,334.5,0.815,100005
1,423.5,245.6,440.2,263.1,0.852,100006
1,291.4,349.0,310.4,362.9,0.84,100007
1,327.5,388.7,344.6,405.6,0.831,100008
1,278.7,368.1,296.8,386.1,0.809,100009
1,430.2,233.5,451.2,248.3,0.823,100010
1,305.4,323.2,319.2,341.8,0.777,100011
1,197.9,348.9,215.4,367.0,0.81,100012
1,307.4,268.5,322.5,287.4,0.83,100013
1,433.1,252.5,453.5,269.8,0.8,100014
