frame,x1,y1,x2,y2,conf,track_id
0,327.7,264.7,348.9,299.3,0.901,100001
0,454.7,305.1,486.3,324.9,0.897,100002
0,459.9,367.4,491.3,389.6,0.893,100003
0,302.5,296.8,337.2,321.2,0.892,100004
0,189.5,296.1,214.4,326.0,0.883,100005
0,300.4,328.0,324.8,355.6,0.879,100006
0,261.5,238.3,285.1,255.0,0.877,100007
0,200.2,278.9,238.4,299.4,0.875,100008
0,467.2,406.0,493.0,429.7,0.874,100009
0,376.6,285.5,407.0,310.4,0.87,100010
0,192.6,256.0,226.6,278.2,0.862,100011
0,225.0,238.0,252.0,269.1,0.861,100012
0,213.9,301.2,234.0,326.4,0.86,100013
0,395.9,336.6,424.4,366.6,0.859,100014
0,406.3,362.2,430.1,388.1,0.849,100015
0,416.5,398.2,435.8,437.4,0.84,100016
0,487.9,319.2,504.9,346.4,0.79,100017
0,314.2,356.2,331.4,391.7,0.788,100018
0,598.1,17.5,630.2,48.4,0.901,200019
0,465.5,195.2,489.3,223.4,0.899,200020
0,185.3,198.3,213.5,222.2,0.898,200021
0,177.7,46.3,212.1,71.3,0.897,200022
0,176.7,21.3,210.7,47.8,0.894,200023
0,442.5,95.7,471.1,132.8,0.892,200024
0,583.4,62.7,614.0,92.5,0.891,200025
0,388.0,108.3,423.5,127.4,0.887,200026
0,573.1,17.1,602.4,58.1,0.885,200027
0,398.0,125.5,426.2,150.2,0.877,200028
0,301.0,165.4,328.0,198.1,0.876,200029
0,164.0,94.2,194.1,122.8,0.872,200030
0,173.0,71.9,198.9,100.4,0.872,200031
0,364.4,168.0,390.3,199.1,0.869,200032
0,215.3,49.3,248.5,73.8,0.866,200033
0,232.8,143.2,255.8,171.3,0.86,200034
0,286.4,161.6,312.8,185.2,0.851,200035
0,272.0,111.2,290.5,139.1,0.694,200036
0,573.3,10.6,587.5,26.5,0.656,200037
0,390.5,85.4,411.4,108.4,0.608,200038
1,328.0,263.9,349.7,299.2,0.893,100001
1,454.6,305.2,486.5,324.8,0.898,100002
1,459.9,367.6,491.3,389.1,0.895,100003
1,302.4,296.2,337.3,321.4,0.896,100004
1,189.8,297.0,214.3,325.8,0.88,100005
1,300.2,327.2,323.5,356.1,0.883,100006
1,261.2,238.5,284.8,254.7,0.88,100007
1,200.3,278.6,238.7,299.2,0.87,100008
1,466.8,406.5,493.1,429.4,0.881,100009
1,376.5,285.2,407.8,309.9,0.882,100010
1,193.1,256.5,229.1,278.7,0.851,100011
1,225.7,238.0,251.7,269.2,0.858,100012
1,213.8,300.7,233.2,326.2,0.859,100013
1,396.0,337.0,424.3,366.3,0.85,100014
1,406.2,362.6,430.1,388.0,0.863,100015
1,416.4,397.9,436.2,434.9,0.869,100016
1,487.9,319.8,505.1,347.0,0.825,100017
1,313.8,355.8,330.1,393.1,0.802,100018
1,597.9,17.8,630.2,48.3,0.902,200019
1,465.7,195.4,489.1,223.2,0.901,200020
1,185.7,198.3,213.7,222.1,0.905,200021
1,177.7,46.7,212.0,71.0,0.9,200022
1,176.7,21.4,211.3,47.8,0.891,200023
1,444.5,95.3,471.8,133.4,0.899,200024
1,581.3,64.9,613.9,90.6,0.907,200025
1,388.0,108.4,423.3,127.3,0.886,200026
1,573.0,17.2,603.0,58.1,0.887,200027
1,397.4,125.3,426.0,149.3,0.88,200028
1,300.9,163.8,328.4,198.0,0.879,200029
1,164.1,94.3,193.4,123.6,0.882,200030
1,173.0,71.6,198.2,100.9,0.859,200031
1,364.0,165.7,390.0,199.7,0.863,200032
1,215.1,48.5,250.6,74.5,0.856,200033
1,232.4,143.1,255.9,170.7,0.865,200034
1,282.2,157.4,311.1,177.9,0.841,200035
1,272.6,104.7,290.9,139.1,0.758,200036
1,573.0,10.9,587.4,26.1,0.607,200037
1,387.4,85.4,411.5,108.5,0.699,200038
2,328.3,263.2,349.9,299.2,0.888,100001
2,454.6,305.2,486.6,324.6,0.898,100002
2,458.7,367.2,491.8,388.5,0.896,100003
2,302.6,296.0,336.0,323.1,0.901,100004
2,189.7,296.4,214.5,325.0,0.883,100005
2,300.2,326.0,322.4,357.4,0.887,100006
2,260.0,238.3,284.7,254.6,0.888,100007
2,200.1,278.7,237.6,299.3,0.874,100008
2,466.8,406.5,493.0,429.3,0.887,100009
2,376.4,285.4,408.0,310.1,0.88,100010
2,192.9,256.6,229.2,278.6,0.862,100011
2,225.4,238.3,252.2,268.9,0.864,100012
2,213.8,301.5,233.1,326.3,0.86,100013
2,395.5,337.1,424.8,366.2,0.837,100014
2,406.6,362.4,429.4,387.5,0.871,100015
2,416.6,397.5,436.0,434.7,0.853,100016
2,487.9,320.0,505.1,347.0,0.82,100017
2,311.9,359.0,329.4,396.4,0.822,100018
2,328.0,361.2,341.9,389.8,0.742,100039
2,597.9,17.8,630.3,48.2,0.904,200019
2,465.8,195.3,489.3,222.9,0.903,200020
2,185.4,198.3,213.6,222.2,0.901,200021
2,177.7,46.6,212.1,71.0,0.899,200022
2,176.6,21.5,211.8,47.6,0.891,200023
2,446.1,97.1,472.0,134.1,0.891,200024
2,580.5,64.7,614.3,88.3,0.905,200025
2,388.5,108.5,423.7,127.4,0.887,200026
2,572.9,17.2,602.9,58.1,0.892,200027
2,397.1,125.2,425.9,149.0,0.882,200028
2,303.6,163.8,328.2,198.5,0.886,200029
2,163.9,94.3,193.4,124.9,0.878,200030
2,172.9,71.1,197.6,101.9,0.846,200031
2,364.2,170.0,390.0,199.6,0.873,200032
2,214.9,48.6,251.5,73.3,0.868,200033
2,229.7,143.1,255.5,169.5,0.836,200034
2,277.2,145.0,298.2,178.8,0.871,200035
2,272.7,103.0,290.9,139.2,0.74,200036
2,572.8,10.3,587.1,26.2,0.55,200037
2,387.0,85.3,411.6,109.5,0.725,200038
3,328.4,263.0,350.3,298.9,0.886,100001
3,454.6,305.2,486.6,324.5,0.898,100002
3,459.5,367.1,492.0,388.4,0.9,100003
3,302.5,295.7,335.7,323.1,0.902,100004
3,190.4,296.7,214.5,324.9,0.882,100005
3,300.6,326.2,322.4,358.7,0.893,100006
3,259.6,238.4,285.1,254.7,0.891,100007
3,200.1,278.8,237.2,299.4,0.875,100008
3,467.0,406.4,493.1,429.4,0.886,100009
3,376.3,285.5,408.0,310.1,0.882,100010
3,192.7,256.7,229.6,278.7,0.853,100011
3,224.2,239.3,253.4,268.6,0.862,100012
3,213.7,301.8,232.7,326.0,0.853,100013
3,400.7,337.6,425.2,362.4,0.823,100014
3,402.1,358.1,429.6,388.0,0.897,100015
3,416.6,397.2,436.0,434.7,0.856,100016
3,487.9,318.8,505.0,347.0,0.829,100017
3,303.1,362.3,324.5,399.3,0.873,100018
3,325.8,362.3,340.8,389.8,0.822,100039
3,597.9,17.9,630.2,48.2,0.903,200019
3,465.7,195.2,489.4,223.0,0.903,200020
3,184.7,198.5,213.4,222.4,0.893,200021
3,177.8,46.7,212.1,70.9,0.899,200022
3,176.5,21.3,212.5,47.7,0.892,200023
3,447.8,97.6,472.1,134.3,0.882,200024
3,578.5,65.5,616.9,89.0,0.877,200025
3,388.1,108.6,423.9,127.4,0.888,200026
3,573.0,17.2,603.1,58.0,0.894,200027
3,397.1,125.2,426.3,148.9,0.879,200028
3,304.3,163.8,327.2,198.2,0.881,200029
3,164.1,94.8,194.0,124.5,0.88,200030
3,173.0,71.0,197.2,102.1,0.85,200031
3,365.2,169.2,389.9,199.6,0.864,200032
3,214.9,48.6,252.7,72.9,0.847,200033
3,229.5,143.0,254.3,168.9,0.847,200034
3,278.6,141.6,297.1,172.9,0.853,200035
3,273.1,103.1,291.1,139.0,0.811,200036
3,572.7,10.3,586.9,26.2,0.487,200037
3,384.9,85.2,411.5,109.8,0.828,200038
4,328.5,262.5,350.6,297.9,0.879,100001
4,454.5,305.3,486.6,324.6,0.898,100002
4,459.5,367.4,492.3,388.9,0.899,100003
4,302.5,296.0,334.1,323.6,0.901,100004
4,190.5,298.1,214.5,325.0,0.871,100005
4,300.6,326.3,322.1,358.7,0.885,100006
4,260.3,238.5,285.0,254.6,0.885,100007
4,197.8,278.1,237.2,299.2,0.853,100008
4,467.0,406.5,493.1,429.3,0.884,100009
4,376.3,285.4,408.0,310.1,0.882,100010
4,193.8,256.7,233.4,278.8,0.861,100011
4,225.5,238.3,253.2,269.1,0.866,100012
4,213.9,300.8,233.3,326.1,0.857,100013
4,401.0,337.6,424.6,361.5,0.812,100014
4,402.3,357.4,429.2,387.4,0.895,100015
4,416.7,396.6,435.9,434.5,0.856,100016
4,487.9,319.0,504.9,347.2,0.823,100017
4,300.8,365.0,322.5,400.1,0.876,100018
4,324.7,362.8,339.8,388.7,0.862,100039
4,597.9,17.8,630.1,48.2,0.904,200019
4,465.7,195.2,489.3,222.7,0.903,200020
4,180.5,199.7,211.7,221.3,0.888,200021
4,177.9,46.6,212.0,71.1,0.9,200022
4,176.6,21.3,212.6,47.6,0.892,200023
4,448.0,97.6,472.1,134.4,0.882,200024
4,580.9,65.9,621.3,89.6,0.89,200025
4,388.5,108.7,424.0,127.7,0.884,200026
4,573.0,17.2,602.8,57.8,0.891,200027
4,396.7,126.8,426.4,148.5,0.883,200028
4,304.6,162.7,326.4,198.2,0.872,200029
4,163.8,94.5,193.8,123.7,0.891,200030
4,173.1,71.0,197.2,101.8,0.855,200031
4,365.2,169.8,390.4,199.4,0.861,200032
4,214.9,48.4,253.0,71.9,0.851,200033
4,229.3,142.7,254.4,168.7,0.851,200034
4,279.3,140.5,299.0,172.1,0.867,200035
4,273.1,103.9,291.1,138.5,0.678,200036
4,573.0,10.8,587.3,26.1,0.613,200037
4,382.7,85.1,411.5,109.8,0.828,200038
