frame,x1,y1,x2,y2,conf,track_id
0,184.8,278.2,215.9,318.8,0.908,100001
0,313.4,279.0,348.9,318.0,0.906,100002
0,248.1,388.6,293.3,418.5,0.904,100003
0,372.7,248.1,396.9,296.1,0.898,100004
0,331.6,264.0,360.8,306.8,0.897,100005
0,389.0,268.7,434.1,302.6,0.896,100006
0,216.7,377.6,246.3,430.8,0.891,100007
0,193.1,358.4,236.2,384.5,0.891,100008
0,504.1,371.3,538.8,398.9,0.888,100009
0,304.6,346.2,337.1,370.2,0.886,100010
0,335.8,382.4,361.2,409.5,0.885,100011
0,311.9,364.7,343.9,390.5,0.88,100012
0,595.0,242.0,624.3,262.4,0.873,100013
0,194.3,386.0,222.0,430.8,0.871,100014
0,193.8,242.2,235.4,270.6,0.836,100015
0,175.7,250.2,209.9,279.5,0.804,100016
0,596.9,11.6,626.4,57.4,0.906,200017
0,263.6,101.8,312.7,129.6,0.906,200018
0,569.9,49.2,611.7,81.1,0.905,200019
0,462.9,77.8,493.6,116.5,0.904,200020
0,557.1,185.5,596.6,214.6,0.901,200021
0,441.9,166.9,494.2,192.2,0.899,200022
0,343.0,4.6,372.4,42.8,0.899,200023
0,596.8,181.9,632.1,223.5,0.895,200024
0,352.8,134.5,379.4,177.9,0.894,200025
0,298.8,125.5,326.1,170.1,0.892,200026
0,167.2,118.5,205.0,159.2,0.887,200027
0,192.1,191.4,239.9,217.7,0.886,200028
0,304.3,10.1,338.6,37.4,0.885,200029
0,435.8,188.6,483.2,213.1,0.883,200030
0,182.7,28.0,226.4,75.5,0.879,200031
0,595.2,208.7,624.1,229.8,0.854,200032
0,169.0,174.1,203.8,214.0,0.816,200033
0,205.4,123.2,239.0,174.4,0.806,200034
0,234.6,144.4,261.7,171.0,0.555,200035
1,184.9,278.4,215.9,318.9,0.908,100001
1,313.5,279.2,349.1,317.9,0.907,100002
1,247.9,388.5,293.2,418.5,0.908,100003
1,372.8,248.3,396.7,296.1,0.898,100004
1,331.4,264.1,360.6,306.8,0.899,100005
1,389.2,268.7,434.2,302.5,0.895,100006
1,216.6,377.5,246.3,430.2,0.885,100007
1,193.2,358.4,236.2,384.6,0.893,100008
1,504.2,371.3,538.7,398.8,0.892,100009
1,304.7,345.9,337.3,370.2,0.887,100010
1,335.8,382.1,361.1,409.5,0.887,100011
1,311.6,364.8,344.1,390.4,0.881,100012
1,595.0,241.9,624.4,262.4,0.876,100013
1,194.3,385.6,224.1,430.6,0.854,100014
1,193.9,241.9,235.3,270.6,0.837,100015
1,175.9,250.2,209.6,279.4,0.814,100016
1,596.9,11.9,626.5,57.4,0.904,200017
1,263.6,101.8,313.1,129.7,0.906,200018
1,569.9,49.1,611.5,81.4,0.906,200019
1,462.9,77.8,493.6,116.4,0.904,200020
1,557.1,185.7,596.4,214.5,0.901,200021
1,441.9,166.9,494.2,192.1,0.899,200022
1,343.1,4.5,372.4,42.7,0.901,200023
1,596.9,181.9,632.1,223.5,0.897,200024
1,352.9,134.5,379.3,178.1,0.9,200025
1,298.8,125.4,326.0,170.0,0.895,200026
1,167.4,118.0,205.4,159.1,0.895,200027
1,192.6,191.3,240.2,217.7,0.891,200028
1,304.3,10.0,338.8,37.3,0.884,200029
1,435.8,188.5,483.3,213.1,0.885,200030
1,182.7,28.4,226.5,75.4,0.875,200031
1,594.9,208.5,624.3,229.7,0.855,200032
1,171.8,174.5,203.9,214.6,0.836,200033
1,205.2,123.1,259.4,173.8,0.75,200034
2,185.1,278.5,216.0,318.8,0.911,100001
2,313.1,278.5,349.1,317.9,0.906,100002
2,243.5,388.5,289.6,418.2,0.908,100003
2,372.9,248.2,396.6,298.3,0.9,100004
2,331.4,264.5,360.4,307.7,0.901,100005
2,389.0,268.7,434.8,303.6,0.898,100006
2,216.1,377.7,244.1,438.2,0.857,100007
2,192.7,358.9,236.2,385.3,0.891,100008
2,505.7,371.3,538.7,398.6,0.89,100009
2,303.8,345.7,337.1,369.9,0.887,100010
2,335.8,381.9,360.7,409.3,0.882,100011
