frame,x1,y1,x2,y2,conf,track_id
0,579.2,239.4,626.2,267.1,0.91,100001
0,194.7,354.8,242.2,384.1,0.908,100002
0,313.9,278.9,356.2,307.1,0.906,100003
0,418.1,360.8,447.9,394.8,0.9,100004
0,190.9,383.9,236.6,409.2,0.899,100005
0,557.2,413.9,593.7,442.3,0.887,100006
0,192.6,254.0,232.1,287.6,0.885,100007
0,346.9,374.2,379.7,400.6,0.883,100008
0,177.6,301.9,217.2,335.3,0.883,100009
0,196.0,294.4,240.7,319.2,0.881,100010
0,208.2,210.2,241.1,253.2,0.877,100011
0,196.2,332.3,228.4,368.1,0.876,100012
0,583.4,379.4,632.7,403.8,0.875,100013
0,585.3,354.4,624.3,389.7,0.873,100014
0,590.5,408.1,621.3,442.5,0.843,100015
0,180.7,207.9,211.4,234.0,0.833,100016
0,180.7,233.1,220.3,254.9,0.817,100017
0,564.6,395.4,610.4,421.7,0.812,100018
0,192.2,62.1,235.8,94.4,0.904,200019
0,183.5,34.4,228.2,64.0,0.903,200020
0,356.5,146.6,393.0,179.4,0.901,200021
0,430.6,148.1,466.2,202.8,0.899,200022
0,222.4,176.7,259.1,203.2,0.897,200023
0,391.3,34.4,421.4,68.7,0.895,200024
0,363.2,52.5,390.0,90.1,0.895,200025
0,181.6,0.3,212.1,34.0,0.893,200026
0,325.0,126.1,363.1,152.5,0.892,200027
0,466.3,105.1,503.5,132.4,0.888,200028
0,587.1,14.6,617.3,61.7,0.886,200029
0,568.8,192.0,600.1,225.7,0.884,200030
0,597.3,176.7,625.1,207.9,0.872,200031
0,183.0,157.2,220.6,187.0,0.86,200032
0,488.2,17.2,507.3,67.2,0.852,200033
0,587.9,196.0,630.8,230.2,0.844,200034
0,227.9,0.0,269.7,24.2,0.834,200035
0,183.9,179.8,225.6,198.7,0.806,200036
0,200.8,0.0,231.9,20.4,0.8,200037
1,579.1,239.4,624.2,267.0,0.91,100001
1,195.6,354.7,241.7,384.0,0.904,100002
1,314.1,278.9,356.2,307.1,0.909,100003
1,418.1,360.8,447.9,395.2,0.899,100004
1,191.3,383.8,236.1,409.1,0.899,100005
1,557.4,413.6,593.8,442.1,0.888,100006
1,192.7,254.5,232.1,285.2,0.887,100007
1,347.2,374.2,379.6,400.3,0.886,100008
1,182.8,300.4,215.1,335.8,0.873,100009
1,196.3,293.9,240.2,318.9,0.87,100010
1,208.5,210.2,241.3,253.1,0.88,100011
1,196.2,332.0,227.9,367.0,0.871,100012
1,583.2,379.2,632.1,403.8,0.872,100013
1,585.1,354.4,623.7,389.6,0.883,100014
1,590.1,408.2,621.4,442.5,0.832,100015
1,179.8,207.6,212.2,234.7,0.845,100016
1,181.8,232.8,219.9,254.3,0.832,100017
1,565.6,395.5,610.6,420.4,0.81,100018
1,192.3,62.1,235.7,94.2,0.91,200019
1,183.8,34.5,228.6,64.2,0.902,200020
1,356.3,146.3,393.4,179.1,0.902,200021
1,432.5,147.6,465.9,200.5,0.896,200022
1,222.3,176.8,258.8,203.3,0.897,200023
1,391.7,33.9,421.4,68.8,0.895,200024
1,363.4,52.5,390.3,90.0,0.9,200025
1,181.5,0.3,212.0,33.9,0.895,200026
1,324.9,126.5,362.9,152.4,0.895,200027
1,466.2,105.3,503.5,132.4,0.889,200028
1,587.3,14.7,617.2,61.5,0.887,200029
1,568.9,192.5,600.6,225.6,0.881,200030
1,597.6,177.0,624.5,207.7,0.875,200031
1,183.3,157.1,220.7,187.1,0.875,200032
1,487.5,19.8,506.3,68.0,0.835,200033
1,588.1,195.8,631.0,230.5,0.848,200034
1,223.8,0.0,269.8,24.1,0.828,200035
1,183.7,180.1,225.5,199.6,0.824,200036
1,198.8,0.1,232.1,20.0,0.813,200037
2,579.1,239.4,624.2,267.0,0.91,100001
2,195.6,354.7,241.7,384.0,0.904,100002
2,314.1,279.0,356.3,307.2,0.91,100003
2,418.1,360.8,447.9,395.0,0.902,100004
2,191.3,383.8,236.1,409.1,0.898,100005
2,557.4,413.6,593.8,442.1,0.888,100006
2,192.7,254.5,232.1,285.2,0.888,100007
2,347.1,374.2,379.6,400.3,0.886,100008
2,182.8,300.4,215.1,335.8,0.874,100009
2,196.3,293.9,240.2,318.9,0.87,100010
2,208.5,210.2,241.3,253.1,0.881,100011
2,196.2,332.0,227.9,366.9,0.873,100012
2,583.2,379.2,632.1,403.7,0.872,100013
2,585.1,354.4,623.7,389.6,0.883,100014
