frame,x1,y1,x2,y2,conf,track_id
0,367.0,384.6,413.7,425.2,0.917,100001
0,255.5,368.4,290.4,420.3,0.915,100002
0,531.6,384.9,575.9,435.7,0.908,100003
0,588.7,231.1,638.5,261.1,0.908,100004
0,176.7,296.1,233.7,330.1,0.904,100005
0,250.3,267.2,307.4,305.4,0.901,100006
0,174.1,270.6,229.6,296.8,0.9,100007
0,567.3,377.8,603.7,434.5,0.886,100008
0,240.7,237.9,282.7,267.5,0.872,100009
0,588.4,352.4,624.4,396.0,0.834,100010
0,180.7,240.1,222.6,272.2,0.826,100011
0,188.3,327.1,232.0,364.0,0.791,100012
0,598.6,396.8,628.9,429.2,0.787,100013
0,220.1,303.9,264.7,366.2,0.786,100014
0,205.8,238.8,238.4,255.9,0.767,100015
0,220.9,247.1,259.1,295.1,0.645,100016
0,599.0,390.0,630.8,406.9,0.458,100017
0,370.6,10.8,420.6,57.1,0.931,200018
0,528.8,2.9,579.0,62.0,0.928,200019
0,556.2,81.9,607.1,128.6,0.924,200020
0,201.1,54.6,248.1,101.3,0.92,200021
0,592.7,179.1,637.4,218.4,0.918,200022
0,564.0,7.9,604.3,67.0,0.917,200023
0,214.3,103.1,266.0,152.4,0.913,200024
0,173.4,95.5,218.8,140.2,0.911,200025
0,595.5,146.3,645.1,181.7,0.903,200026
0,206.4,145.5,248.1,198.5,0.901,200027
0,275.5,15.6,320.2,58.9,0.9,200028
0,203.3,188.7,250.4,223.8,0.894,200029
0,183.4,138.9,220.7,192.7,0.874,200030
0,284.9,172.1,318.3,217.3,0.864,200031
0,229.3,189.8,290.1,227.0,0.853,200032
0,565.7,133.9,600.1,187.4,0.837,200033
1,367.0,384.5,414.0,425.1,0.916,100001
1,255.7,368.4,290.4,420.5,0.913,100002
1,531.5,384.7,576.1,435.9,0.912,100003
1,588.4,231.1,638.3,261.1,0.911,100004
1,175.2,296.1,233.7,329.9,0.906,100005
1,243.7,273.6,301.0,313.7,0.924,100006
1,174.1,270.6,229.6,296.9,0.902,100007
1,567.6,377.5,603.7,434.0,0.892,100008
1,240.3,238.1,283.8,267.6,0.878,100009
1,588.4,352.6,623.3,394.5,0.867,100010
1,180.9,239.6,222.0,271.4,0.862,100011
1,187.9,327.3,230.7,359.5,0.811,100012
