frame,x1,y1,x2,y2,conf,track_id
0,583.4,287.2,631.2,313.4,0.907,100001
0,530.6,233.9,575.2,268.2,0.905,100002
0,590.8,241.5,624.5,284.2,0.903,100003
0,300.6,253.1,332.8,293.0,0.903,100004
0,394.3,279.3,442.0,306.7,0.894,100005
0,423.9,308.2,467.4,335.5,0.894,100006
0,396.4,342.2,431.3,379.7,0.894,100007
0,384.9,255.6,424.6,287.2,0.892,100008
0,379.3,357.4,405.6,402.1,0.892,100009
0,410.5,228.1,448.4,257.0,0.891,100010
0,588.7,396.1,623.0,435.2,0.89,100011
0,565.2,369.5,613.3,404.3,0.886,100012
0,490.3,370.0,526.5,400.3,0.885,100013
0,500.9,402.1,520.7,446.5,0.875,100014
0,510.2,280.5,545.4,302.9,0.874,100015
0,404.1,302.3,433.5,347.6,0.865,100016
0,508.3,247.1,540.7,273.6,0.86,100017
0,351.7,251.6,400.2,285.2,0.816,100018
0,340.3,174.2,376.8,210.4,0.903,200019
0,459.6,31.1,501.0,63.9,0.902,200020
0,584.3,74.8,631.6,104.8,0.902,200021
0,594.5,186.1,626.2,230.3,0.898,200022
0,464.0,67.6,505.2,99.8,0.894,200023
0,583.9,156.5,624.5,189.6,0.893,200024
0,442.2,0.0,478.2,40.2,0.892,200025
0,518.8,125.8,552.1,149.7,0.884,200026
0,515.6,148.6,554.6,174.7,0.879,200027
0,554.2,143.5,593.4,168.5,0.874,200028
0,593.8,0.1,623.7,40.4,0.863,200029
0,528.6,195.1,565.6,226.4,0.852,200030
0,602.5,35.0,636.6,74.0,0.84,200031
0,567.3,0.0,599.8,45.5,0.837,200032
0,524.5,15.2,560.6,51.1,0.806,200033
0,584.3,33.1,613.5,67.5,0.775,200034
0,539.0,0.4,568.7,33.6,0.764,200035
0,491.7,6.7,525.9,42.5,0.724,200036
0,491.1,0.8,512.4,18.0,0.436,200037
1,583.0,287.3,630.8,313.3,0.912,100001
1,531.6,234.2,574.8,267.2,0.9,100002
1,590.7,241.4,624.7,283.8,0.907,100003
1,300.7,253.0,332.9,293.0,0.907,100004
1,392.4,279.7,441.4,307.3,0.898,100005
1,424.6,308.3,468.4,335.6,0.9,100006
1,395.2,345.1,431.3,379.7,0.903,100007
1,385.9,255.1,424.6,287.9,0.896,100008
1,380.2,357.3,407.1,402.0,0.906,100009
1,410.2,227.8,448.3,257.1,0.893,100010
1,588.6,396.2,622.4,434.0,0.889,100011
1,565.4,369.6,612.9,404.3,0.883,100012
1,489.6,369.8,526.4,400.2,0.876,100013
1,500.4,402.2,520.6,446.4,0.871,100014
1,510.4,278.4,546.0,303.0,0.807,100015
1,404.8,305.7,433.6,347.3,0.828,100016
1,508.2,245.0,541.3,271.5,0.889,100017
1,351.3,251.5,396.5,287.2,0.872,100018
1,340.5,173.9,376.8,206.9,0.902,200019
1,459.7,31.4,501.4,64.5,0.906,200020
1,584.2,74.8,630.9,105.0,0.91,200021
1,594.7,185.9,625.8,230.1,0.904,200022
1,464.3,67.6,504.8,99.7,0.897,200023
1,583.8,156.2,624.8,189.6,0.897,200024
1,442.3,0.0,478.1,40.9,0.886,200025
1,514.6,125.5,551.8,151.0,0.826,200026
1,513.4,148.9,555.1,174.8,0.875,200027
1,553.7,143.0,593.2,169.0,0.878,200028
1,594.4,0.0,623.9,39.8,0.876,200029
1,528.6,195.0,565.5,228.2,0.845,200030
1,602.5,34.8,636.6,74.0,0.875,200031
1,567.4,0.0,600.2,45.7,0.851,200032
1,523.2,15.4,561.6,51.0,0.836,200033
1,584.6,32.4,613.8,67.2,0.809,200034
1,539.4,0.1,568.5,33.8,0.781,200035
1,491.6,2.2,525.5,42.3,0.732,200036
1,490.6,0.7,515.3,17.3,0.481,200037
2,583.1,287.4,630.5,313.3,0.913,100001
2,530.8,234.0,575.4,268.1,0.904,100002
2,590.7,241.3,624.7,284.4,0.907,100003
2,300.8,253.0,332.9,293.0,0.905,100004
2,395.7,279.6,439.2,307.4,0.902,100005
2,432.5,305.5,467.9,335.6,0.903,100006
2,394.4,345.0,433.0,376.9,0.898,100007
2,385.6,251.3,420.0,292.1,0.88,100008
2,379.5,360.1,405.3,403.1,0.897,100009
2,410.3,227.8,448.0,257.1,0.894,100010
2,588.6,397.6,622.7,434.2,0.896,100011
2,565.6,369.5,612.2,404.2,0.902,100012
2,489.2,369.9,526.7,400.3,0.888,100013
2,500.4,401.9,520.5,446.5,0.868,100014
2,509.6,274.3,545.8,303.2,0.826,100015
2,402.1,302.6,433.3,346.7,0.856,100016
2,507.9,247.0,539.4,273.0,0.873,100017
2,344.8,242.3,384.0,283.6,0.883,100018
2,340.5,173.8,376.8,206.8,0.901,200019
